name,type,start_time,duration,"value"
"JTAG","v1frame",7.896048438,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.896048875,0.00000025,"Update-DR"
"JTAG","v1frame",7.896049156,0.000185094,"Run-Test/Idle"
"JTAG","v1frame",7.896234281,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.896234531,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.896234813,0.000000219,"Capture-IR"
"JTAG","v1frame",7.896235062,0.000001656,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.89623675,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.896237187,0.000000219,"Update-IR"
"JTAG","v1frame",7.896237437,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.896237875,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.896238125,0.00000025,"Capture-DR"
"JTAG","v1frame",7.896238406,0.000011437,"Shift-DR
0x05800000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.896249875,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.896250313,0.000000219,"Update-DR"
"JTAG","v1frame",7.896250562,0.00015875,"Run-Test/Idle"
"JTAG","v1frame",7.896409344,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.896409625,0.000000219,"Capture-DR"
"JTAG","v1frame",7.896409875,0.000011438,"Shift-DR
0x05800000000 (41)
0x05808000010 (41)"
"JTAG","v1frame",7.896421344,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.896421781,0.00000025,"Update-DR"
"JTAG","v1frame",7.896422063,0.003025844,"Run-Test/Idle"
"JTAG","v1frame",7.899447937,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.899448187,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.899448469,0.000000219,"Capture-IR"
"JTAG","v1frame",7.899448719,0.000001656,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.899450406,0.000000375,"Exit1-IR"
"JTAG","v1frame",7.899450812,0.00000025,"Update-IR"
"JTAG","v1frame",7.899451094,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.899451531,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.899451781,0.00000025,"Capture-DR"
"JTAG","v1frame",7.899452062,0.000011438,"Shift-DR
0x04000000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.899463531,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.899463969,0.000000219,"Update-DR"
